Chamber#,ME+11,ME+12,ME+13,ME+21,ME+22,ME+31,ME+32,ME+41,ME+42
1,178.32,5.66,1.86,99.22,4.25,62.06,6.07,64.61,15.98
2,154.39,7.01,2.09,97.24,4.85,62.29,6.64,66.45,17.41
3,177.74,5.40,1.90,100.85,4.41,64.21,6.09,66.10,15.98
4,155.49,6.23,2.19,98.33,5.15,63.50,6.94,68.13,17.76
5,176.79,5.35,2.19,98.71,4.49,62.51,6.21,65.83,15.39
6,158.50,6.62,2.31,95.17,5.10,61.26,6.98,65.01,19.07
7,177.18,5.34,2.58,98.97,4.83,62.35,6.97,66.05,19.82
8,151.28,6.30,2.53,97.03,5.31,62.13,8.11,67.17,23.09
9,174.78,5.34,2.67,100.90,4.87,62.53,7.57,66.01,23.12
10,150.52,6.44,2.88,98.03,5.85,62.33,8.70,67.43,26.73
11,175.06,5.32,2.51,98.69,4.86,62.16,7.49,65.00,23.52
12,151.40,6.30,2.40,95.98,5.00,60.71,7.73,63.66,22.80
13,183.97,5.37,2.59,99.54,4.61,62.78,6.90,64.93,19.92
14,159.72,6.61,2.40,96.81,5.25,62.77,7.07,67.34,18.00
15,178.04,5.37,2.27,101.15,4.57,63.88,6.15,66.47,14.70
16,153.65,6.42,2.24,98.23,5.16,63.04,7.00,66.65,17.39
17,163.24,5.54,1.90,98.09,4.42,61.76,6.14,64.30,15.74
18,153.49,7.05,1.68,94.86,4.69,60.31,6.48,64.00,16.81
19,180.74,5.85,1.76,,4.35,,6.13,,16.08
20,155.22,7.03,1.90,,4.65,,6.47,,17.39
21,181.67,5.71,1.45,,4.19,,5.69,,14.26
22,155.16,6.76,1.50,,4.89,,5.98,,14.17
23,179.09,5.35,1.30,,3.96,,4.64,,10.78
24,154.94,6.15,1.13,,3.96,,4.62,,10.36
25,179.35,5.19,1.08,,3.68,,4.40,,10.08
26,155.38,6.34,0.88,,4.16,,5.25,,13.79
27,187.51,5.11,0.70,,3.59,,4.70,,13.15
28,155.51,6.00,0.69,,3.74,,5.20,,14.79
29,181.58,5.21,0.70,,3.47,,4.71,,13.36
30,155.58,6.41,0.86,,3.96,,5.07,,13.46
31,180.27,5.18,1.03,,3.78,,4.41,,10.18
32,156.57,6.14,1.12,,4.25,,4.90,,10.46
33,163.29,5.28,1.30,,3.92,,4.66,,10.29
34,153.69,6.52,1.44,,4.87,,5.91,,13.71
35,181.68,5.30,1.32,,4.22,,5.57,,14.03
36,154.62,6.35,1.51,,4.47,,6.20,,16.54
